t (s),V (mV)
0,14.7913
1.049,14.7888
2.099,14.7819
3.141,14.7763
4.14,14.7721
5.141,14.7653
6.141,14.7601
7.14,14.7556
8.141,14.7496
9.141,14.7443
10.141,14.738
11.14,14.7326
12.14,14.7266
13.14,14.7199
14.141,14.7132
15.141,14.7068
16.14,14.7022
17.141,14.6953
18.14,14.6879
19.14,14.6818
20.14,14.6753
21.141,14.669
22.141,14.6634
23.141,14.6559
24.141,14.6504
25.141,14.6452
26.141,14.6378
27.141,14.6308
28.14,14.6247
29.14,14.6176
30.14,14.6117
31.14,14.6052
32.141,14.5985
33.14,14.5914
34.141,14.585
35.141,14.5783
36.141,14.5717
37.14,14.5647
38.14,14.5581
39.14,14.5517
40.141,14.5446
41.141,14.5399
42.14,14.534
43.14,14.5252
44.14,14.519
45.14,14.5129
46.14,14.5058
47.14,14.4995
48.141,14.4932
49.141,14.4863
50.14,14.4805
51.141,14.4733
52.14,14.4672
53.14,14.4604
54.141,14.4537
55.14,14.4477
56.14,14.4409
57.14,14.4355
58.141,14.4283
59.14,14.4218
60.14,14.4147
61.14,14.4083
62.14,14.4022
63.14,14.3955
64.14,14.389
65.14,14.3832
66.14,14.3761
67.14,14.3698
68.141,14.3629
69.14,14.3569
70.14,14.3504
71.14,14.3443
72.14,14.3374
73.141,14.3325
74.14,14.3256
75.141,14.3189
76.14,14.3124
77.14,14.3056
78.14,14.3002
79.141,14.2936
80.14,14.2883
81.141,14.2832
82.141,14.2761
83.14,14.2703
84.14,14.2614
85.14,14.254
86.14,14.2501
87.14,14.2442
88.14,14.2389
89.141,14.2333
90.141,14.2261
91.14,14.2209
92.14,14.2141
93.14,14.2082
94.14,14.203
95.14,14.1962
96.14,14.19
97.14,14.1854
98.14,14.1791
99.141,14.1739
100.14,14.1684
101.141,14.1615
102.14,14.155
103.141,14.1494
104.14,14.1431
105.141,14.1383
106.141,14.1313
107.14,14.126
108.14,14.1191
109.141,14.1141
110.14,14.1073
111.14,14.1014
112.141,14.0965
113.141,14.0904
114.14,14.0839
115.141,14.0785
116.141,14.0729
117.14,14.0658
118.141,14.0598
119.141,14.0548
120.14,14.0485
121.141,14.0428
122.14,14.0366
123.14,14.0305
124.14,14.0239
125.14,14.0187
126.14,14.0123
127.14,14.0068
128.14,14.0008
129.14,13.995
130.141,13.9897
131.14,13.9832
132.14,13.9762
133.14,13.9716
134.14,13.9667
135.14,13.9592
136.141,13.9544
137.141,13.9485
138.14,13.9422
139.14,13.9369
140.14,13.9311
141.141,13.9257
142.14,13.9197
143.14,13.9136
144.141,13.9076
145.141,13.902
146.14,13.8953
147.14,13.8902
148.14,13.8853
149.14,13.8794
150.14,13.8742
151.14,13.8678
152.14,13.8624
153.141,13.8571
154.14,13.85
155.14,13.845
156.141,13.8382
157.14,13.8332
158.14,13.8264
159.14,13.821
160.141,13.8164
161.14,13.8106
162.14,13.8051
163.141,13.8015
164.14,13.7932
165.14,13.7876
166.141,13.7834
167.14,13.7775
168.14,13.772
169.141,13.7677
170.14,13.7613
171.141,13.7555
172.14,13.7501
173.141,13.745
174.14,13.7395
175.141,13.7337
176.141,13.7287
177.14,13.7229
178.141,13.7176
179.14,13.7126
180.141,13.7069
181.14,13.7013
182.141,13.697
183.14,13.6906
184.14,13.6853
185.14,13.6798
186.14,13.6739
187.14,13.667
188.14,13.6628
189.141,13.6578
190.14,13.652
191.14,13.6471
192.14,13.6409
193.141,13.6354
194.141,13.6294
195.141,13.6259
196.14,13.6182
197.14,13.6135
198.14,13.608
199.14,13.6035
200.14,13.5971
201.141,13.5922
202.141,13.5878
203.14,13.582
204.14,13.577
205.141,13.5711
206.141,13.5667
207.14,13.5617
208.14,13.5558
209.14,13.5512
210.141,13.5448
211.141,13.5412
212.14,13.535
213.141,13.5306
214.14,13.5248
215.141,13.5205
216.141,13.5145
217.14,13.51
218.14,13.5051
219.14,13.4996
220.14,13.4939
221.141,13.4887
222.14,13.4837
223.141,13.4788
224.14,13.473
225.14,13.4675
226.141,13.4624
227.14,13.4576
228.14,13.4512
229.141,13.447
230.14,13.442
231.141,13.4364
232.14,13.431
233.141,13.4252
234.141,13.4205
235.14,13.4149
236.141,13.4102
237.14,13.4035
238.14,13.4002
239.14,13.3938
240.141,13.3884
241.14,13.3831
242.14,13.3778
243.141,13.3737
244.14,13.3678
245.141,13.3633
246.14,13.3573
247.141,13.3522
248.14,13.3472
249.141,13.3428
250.14,13.3365
251.14,13.3314
252.14,13.3261
253.141,13.3211
254.14,13.3162
255.141,13.3123
256.14,13.3064
257.14,13.302
258.141,13.2965
259.14,13.2901
260.14,13.288
261.14,13.2801
262.141,13.2755
263.14,13.271
264.141,13.2668
265.14,13.2617
266.141,13.2573
267.141,13.2527
268.14,13.2479
269.14,13.2425
270.14,13.2377
271.141,13.233
272.141,13.2274
273.14,13.22
274.14,13.2173
275.141,13.2125
276.14,13.2068
277.14,13.2027
278.14,13.1981
279.14,13.1924
280.141,13.1879
281.14,13.1812
282.14,13.179
283.14,13.173
284.141,13.1688
285.141,13.1644
286.14,13.1589
287.14,13.154
288.141,13.1494
289.141,13.1456
290.14,13.1407
291.14,13.1354
292.141,13.131
293.141,13.1252
294.14,13.1207
295.14,13.1155
296.14,13.1115
297.141,13.1067
298.14,13.1025
299.14,13.0966
300.141,13.0927
301.14,13.0876
302.14,13.0833
303.141,13.0784
304.141,13.0748
305.141,13.0688
306.141,13.064
307.141,13.0586
308.141,13.0539
309.141,13.0497
310.141,13.0441
311.141,13.0397
312.141,13.0348
313.141,13.0308
314.141,13.0254
315.141,13.0203
